Cell_ID,Cell_class_id,Cell_class,Cell_class_name
5118b269-1d35-4ca8-92bd-f66dc50d3b12,7,OD Mature 1,OD Mature
6de1d343-5d49-4bb3-a13c-1df7dea187fd,0,Astrocyte,Astrocyte
902182a9-dd4e-474f-a593-9517413b9e1a,7,OD Mature 2,OD Mature
be8e78d0-53dd-4bdd-91d2-4abe6dcf3dd3,4,Inhibitory,Inhibitory
2437adfd-b36c-4e13-ac17-545cc4760479,7,OD Mature 1,OD Mature
20d215e3-3f51-4814-b2e4-04deafe9b5aa,7,OD Mature 1,OD Mature
92737efb-4fae-4ed1-a17c-8eda3bb1329a,0,Astrocyte,Astrocyte
bcad93a8-0b8f-447b-81c1-8ed24631fc23,3,Excitatory,Excitatory
8dd8a8f0-f98e-4127-b8c9-7204cee8a894,3,Excitatory,Excitatory
8f0dac54-754e-4b3a-ad56-0e956d5babac,1,Endothelial 1,Endothelial
69829f1f-ed81-4c74-a031-9aac3efd269e,0,Astrocyte,Astrocyte
eed061ce-f442-4862-8de6-fc623af3ae15,6,OD Immature 1,OD Immature
5c92dc5b-9215-4cf5-b676-2b4b91cb6c5a,4,Inhibitory,Inhibitory
3cb11599-1534-4fde-826e-40df73c43b05,6,OD Immature 1,OD Immature
08552ef4-8965-4adb-9334-b96ec829bb22,3,Excitatory,Excitatory
89ec6dec-3e03-4889-aa34-d915b65fd267,3,Excitatory,Excitatory
0acb2f92-78e4-4443-956a-75ba6a766ffb,3,Excitatory,Excitatory
74ac432d-220a-409e-8ea5-92fdec6196bb,3,Excitatory,Excitatory
a4cee558-bb99-4b92-831d-0225e7d98f21,4,Inhibitory,Inhibitory
7953218d-e350-45a8-9218-8b752140fdb1,1,Endothelial 1,Endothelial
bd8ce6bf-aa01-46db-969b-dfcb8c0d0c76,0,Astrocyte,Astrocyte
33306b7a-2e73-41b9-9a0f-94ff54457c54,0,Astrocyte,Astrocyte
5d137d33-b655-4dbe-bed0-2afdae9225a6,3,Excitatory,Excitatory
b29f7294-f025-422a-a963-7bd121c733f4,4,Inhibitory,Inhibitory
d304fdf4-b7b1-413c-a22d-7ec9477275d9,0,Astrocyte,Astrocyte
b24d61f0-41ad-4967-b7d1-a6150c00d0f5,1,Endothelial 1,Endothelial
fbab9173-37f2-4f64-95d2-b90e1562c014,3,Excitatory,Excitatory
71aa8497-12d4-4099-b300-1382182ec657,1,Endothelial 3,Endothelial
0469c48d-7d23-4ad4-8a99-4448c5dc1211,7,OD Mature 2,OD Mature
f4e14efe-de8b-4e04-bfe8-96b248a5ee88,3,Excitatory,Excitatory
ba154ff3-6830-4dee-88a6-86bc5bf87777,4,Inhibitory,Inhibitory
e8aa212d-2e5d-492d-8d09-0df545dadaf3,3,Excitatory,Excitatory
2c3f3f64-5692-4aa1-89df-683b794a1364,7,OD Mature 1,OD Mature
828e4cf6-deff-4a87-a37f-accfe44a8433,1,Endothelial 3,Endothelial
2469af83-7258-4022-9bb8-e37e39f7b930,7,OD Mature 2,OD Mature
